,Name_y,Latitude,Longitude,Family,Subfamily,Macroarea
sqi,Standard Albanian,41.33,19.85,Indo-European,Albanian,Eurasia
swe,Swedish,59.8,17.39,Indo-European,Germanic,Eurasia
tam,Tamil,10.52,78.83,Dravidian,South Dravidian,Eurasia
tat,Tatar,55.0,50.0,Turkic,Kipchak,Eurasia
tel,Telugu,16.45,78.7,Dravidian,South Dravidian,Eurasia
tur,Turkish,39.87,32.87,Turkic,West Oghuz,Eurasia
udm,Udmurt,56.13,52.64,Uralic,Permian,Eurasia
ukr,Ukrainian,50.25,28.65,Indo-European,Balto-Slavic,Eurasia
uzn,Northern Uzbek,39.65,67.0,Turkic,Uzbek,Eurasia
vep,Veps,60.34,34.79,Uralic,Finnic,Eurasia
xal,Kalmyk,46.57,45.32,Mongolic,Eastern Mongolic,Eurasia
ykg,Northern Yukaghir,69.0,155.0,Yukaghir,Northern Yukaghir,Eurasia
yrk,Tundra Nenets,66.18,71.02,Uralic,Samoyedic,Eurasia
yux,Southern Yukaghir,65.75,150.83,Yukaghir,Kolymic,Eurasia
