,Belarusian,Bengali,Breton,Bulgarian,Catalan,Czech,Welsh,Danish,German,Modern Greek,English,French,Irish,Hindi,Croatian,Armenian,Icelandic,Italian,Northern Kurdish,Latvian,Lithuanian,Dutch,Norwegian (Bokmål),Ossetian,Northern Pashto,Western Farsi,Polish,Portuguese,Romanian,Russian,Slovak,Slovene,Spanish,Standard Albanian,Swedish,Ukrainian
Icelandic,0.10005012531328322,0.055782312925170066,0.0841927303465765,0.09634230503795722,0.09275929549902152,0.08907563025210084,0.08360422013116622,0.19062736205593347,0.0418546365914787,0.09523809523809523,0.1263392857142857,0.09367521367521367,0.09189640768588136,0.0630952380952381,0.07485119047619047,0.059206349206349214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian,0.05871704053522235,0.1289730349971314,0.1743206182996759,0.13577235772357726,0.2841638981173865,0.1113095238095238,0.15810510732790528,0.056890570797855575,0.03473389355742297,0.2334285714285715,0.04935064935064935,0.3013143719026073,0.12875890513685792,0.15049504950495052,0.07965367965367964,0.09471979267897636,0.10030138637733574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Kurdish,0.0507936507936508,0.06618566618566618,0.0618418292427103,0.08159057437407953,0.06302521008403363,0.04238095238095239,0.07314285714285712,0.038302277432712216,0.05046197583511016,0.11962233169129725,0.02990271377368152,0.06474684735554304,0.0608316566063045,0.09922669922669923,0.03246287762416795,0.05778853914447135,0.05764411027568923,0.0945326278659612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latvian,0.18083182640144668,0.052841781874039935,0.04344849050731403,0.18376268540202964,0.13538461538461538,0.13997785160575854,0.07959634184799749,0.08363636363636362,0.021904761904761903,0.10054249547920434,0.021938775510204084,0.08214950784783186,0.07304582210242587,0.07726190476190478,0.14285714285714285,0.06864330637915543,0.09589490968801312,0.103420523138833,0.038533114395183365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuanian,0.12094313453536755,0.09382239382239384,0.0498917748917749,0.17938682322243965,0.10896722325293752,0.13333333333333333,0.08217687074829931,0.06552949538024165,0.0,0.1195185766614338,0.021288515406162462,0.08547970912502934,0.11033091202582727,0.11159420289855072,0.1138655462184874,0.08805860805860805,0.06408163265306123,0.1289730349971314,0.10216450216450217,0.23870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dutch,0.018012422360248446,0.05338894681960375,0.11199082042455537,0.042328042328042326,0.06726606726606726,0.06676286676286676,0.06225319396051102,0.1441061670569867,0.1445531637312459,0.06817042606516291,0.08380952380952379,0.08124999999999999,0.0695026455026455,0.05714285714285715,0.07923809523809522,0.052501000400160064,0.10660760428202287,0.11748079877112134,0.06019862490450726,0.05073746312684365,0.0764685436218283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norwegian (Bokmål),0.08306332842415316,0.04533869885982562,0.07790134017678928,0.09061224489795916,0.08841698841698845,0.06776556776556776,0.09422372499295577,0.5620535714285716,0.01684981684981685,0.0920995670995671,0.07692307692307691,0.0789944404157602,0.08317737575379497,0.05093632958801498,0.10153846153846154,0.04961597542242703,0.19815209665955932,0.06297619047619048,0.04861111111111111,0.12154963680387408,0.08665325285043594,0.1342057433660487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ossetian,0.06651785714285714,0.07310762455271126,0.03537414965986395,0.10782511835143413,0.09662144187283853,0.05305114638447971,0.09390476190476192,0.03785564540281522,0.016601135867190912,0.1033356337704164,0.02188701567583555,0.09005847953216374,0.04714468162744025,0.0734563681932103,0.09370008873114463,0.10764976958525344,0.05956709956709956,0.09912739965095983,0.08216954943412344,0.0728667305848514,0.08433801266171209,0.052910052910052914,0.04060450527516396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Pashto,0.06336996336996338,0.11409618573797675,0.08831945334187485,0.10533910533910533,0.07048539222452266,0.06999707858603564,0.09615705931495404,0.034408602150537634,0.02683350712547793,0.1544883485309017,0.012496850592088687,0.1008184523809524,0.10631075959795684,0.16178420735382762,0.0982615268329554,0.10804232804232804,0.06464347396989882,0.1321156773211568,0.09478277366723582,0.0754371805219263,0.1279317697228145,0.058245614035087726,0.04307692307692307,0.10852910052910053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Farsi,0.059375,0.12232314891274428,0.06868686868686869,0.14881648565859093,0.1169459962756052,0.11400352733686067,0.10352380952380953,0.06361185983827493,0.0,0.1724407637451116,0.02425317953268264,0.08847117794486216,0.09049443532202152,0.1187514240145819,0.10730553090801537,0.1685652038593215,0.10366522366522364,0.13951633009224632,0.1177023275677984,0.08680089485458613,0.09391687310762456,0.07442680776014109,0.0703030303030303,0.1241943241943242,0.18853771597134428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polish,0.2102471368294153,0.0880184331797235,0.12012698412698412,0.18282591725214675,0.11531135531135528,0.18493909191583607,0.05827814569536423,0.07965367965367966,0.021904761904761903,0.1248945147679325,0.010544217687074831,0.09853684490556,0.07971112615662378,0.08357142857142857,0.1542517006802721,0.09795918367346937,0.07487684729064037,0.1554661301140174,0.06338259441707718,0.1723809523809524,0.2050691244239631,0.07619047619047617,0.10256410256410256,0.060977948226270375,0.11536185095507125,0.09357622243528284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portuguese,0.05401785714285714,0.10900082576383156,0.1592039800995025,0.17321080478975218,0.25006650704974737,0.10779541446208113,0.0939047619047619,0.050874020494273656,0.012057667103538665,0.1954451345755694,0.026619343389529725,0.2544695071010862,0.11289910600255428,0.10216450216450217,0.07962141378290448,0.08266417678182385,0.16115440115440116,0.3108451757666419,0.07448216954943412,0.11249600511345476,0.1455546380401872,0.06819517930629042,0.06926406926406928,0.1297739297739298,0.1345975558364939,0.15988455988455988,0.1449664429530201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romanian,0.09555293191656827,0.06930579460699944,0.15777947542653425,0.1786295005807201,0.18493909191583613,0.11116071428571428,0.1290895632864545,0.1162907268170426,0.0,0.14971428571428574,0.034137291280148425,0.2109028226675286,0.11113610798650173,0.1777463460631777,0.1789734075448361,0.15534105534105533,0.1082579867389994,0.1853002070393375,0.07733686067019399,0.16109993293091882,0.1546758462421113,0.0843010752688172,0.11272836178496555,0.08902255639097745,0.1076755816481844,0.1503864372974321,0.18725687458081824,0.1792071802543007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russian,0.2797619047619048,0.027444956477214545,0.033255269320843085,0.06886446886446887,0.034439634439634444,0.08,0.02047619047619048,0.02435201928872815,0.0,0.05684289463817022,0.0,0.040926640926640924,0.023993685872138917,0.033813215208564035,0.08042328042328042,0.11326984126984127,0.0784313725490196,0.06383526383526382,0.046886446886446886,0.08723257418909593,0.09667178699436764,0.036004645760743324,0.035905856595511765,0.0390637610976594,0.02635355512067841,0.03357546408393866,0.14575569358178056,0.038740920096852295,0.07516087516087515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovak,0.15992063492063496,0.0695710908476866,0.09603174603174602,0.16880607315389926,0.129316488500162,0.28737864077669906,0.06825396825396826,0.12073490813648295,0.017068645640074213,0.1100408163265306,0.0,0.11477162293488825,0.061152882205513785,0.09760559591068067,0.22753783684016246,0.09960967993754878,0.1162907268170426,0.16879305181191975,0.0881575666915981,0.14440374440374434,0.1893954745018575,0.07296703296703295,0.11654320987654322,0.07710843373493978,0.07943053510063819,0.07837062535857718,0.1978021978021978,0.13608720596672405,0.1671159029649596,0.08106312292358804,0.0,0.0,0.0,0.0,0.0,0.0
Slovene,0.12031746031746032,0.044988662131519266,0.04733044733044733,0.1427646786870088,0.05182325182325182,0.16375266524520254,0.03867243867243867,0.032862375719518576,0.03205574912891986,0.06714628297362109,0.0,0.04011904761904762,0.034048852701702444,0.037284701114488346,0.1808499743983615,0.08363437328954569,0.03082965144820815,0.05729771583430119,0.04202764976958525,0.06960611405055847,0.04498866213151927,0.013981762917933129,0.0507936507936508,0.02241758241758242,0.047377938517179016,0.06783882783882783,0.10487948265726044,0.0526007326007326,0.06674409601238869,0.018666666666666668,0.18581146744412053,0.0,0.0,0.0,0.0,0.0
Spanish,0.09123649459783914,0.1056910569105691,0.18636591478696746,0.2014109347442681,0.3703081232492999,0.11579743008314435,0.1268511593118923,0.06425396825396826,0.03123809523809524,0.17662337662337668,0.03408521303258145,0.2426614481409003,0.11405895691609977,0.08914285714285715,0.124937343358396,0.08293650793650792,0.1326007326007326,0.261643118785976,0.08019581664441477,0.15414965986394558,0.14634146341463414,0.08241518829754124,0.07705069124423962,0.12046605876393113,0.11920122887864827,0.1414965986394558,0.1417687074829932,0.3687578735197784,0.2351648351648352,0.0618610747051114,0.15662723688201402,0.06092089728453365,0.0,0.0,0.0,0.0
Standard Albanian,0.0775297619047619,0.09556840077071292,0.07095238095238095,0.14436090225563908,0.14514498536844905,0.0819753086419753,0.12438095238095236,0.06552860137765798,0.01799912625600699,0.15449735449735452,0.0326530612244898,0.12389306599832915,0.10253603357051634,0.10179995443153338,0.1314404022478557,0.08897081413210446,0.12467532467532465,0.15078534031413612,0.10984411701900493,0.13780760626398209,0.17407101568951278,0.07583774250440918,0.10028686173264484,0.08869352869352869,0.13147914032869787,0.10245310245310246,0.1316714605305209,0.1552669552669553,0.15277985539765646,0.06408393866020985,0.16741250717154335,0.06901098901098901,0.16225749559082894,0.0,0.0,0.0
Swedish,0.0806878306878307,0.046886446886446886,0.05700965700965701,0.09672877846790892,0.08610143244289586,0.0547317661241712,0.07843915343915345,0.40998613037447995,0.024797843665768197,0.09321980447808262,0.07727891156462585,0.0566998892580288,0.09793263646922183,0.07830687830687831,0.05841269841269842,0.058682058682058676,0.15779816513761466,0.06885361552028219,0.037068719703450236,0.11920122887864824,0.09572649572649572,0.11716082659478888,0.39931359931359933,0.04809186085781831,0.06095238095238095,0.06304493628437291,0.09339477726574502,0.07498323272971161,0.09001763668430336,0.05069124423963135,0.09021645021645022,0.032432432432432434,0.0932330827067669,0.08101945003353456,0.0,0.0
Ukrainian,0.4221088435374151,0.03658651579443658,0.052600732600732614,0.13852813852813853,0.0582109479305741,0.2246409674981104,0.04851190476190476,0.03721948549534757,0.03552123552123552,0.08832451499118166,0.0,0.042246642246642235,0.03940539178634417,0.043934654153632256,0.17870518994114498,0.06504065040650407,0.08663594470046082,0.02945178071228492,0.05512456638284453,0.1365491651205937,0.0991984912776992,0.03470899470899471,0.056741854636591475,0.037180952380952384,0.04650587507730365,0.047316704459561605,0.16128633271490414,0.027966742252456538,0.06578631452581032,0.1826086956521739,0.1785207700101317,0.174055829228243,0.07114367114367115,0.0984126984126984,0.046258503401360535,0.0
