,N of colex,Recall,Model
177,100,0.15481171548117154,Prob
178,100,0.09928057553956834,Prob
179,100,0.10084033613445378,Prob
180,100,0.11127379209370425,Prob
181,100,0.15362731152204837,Prob
182,100,0.07544581618655692,Prob
183,100,0.09475218658892129,Prob
184,100,0.1565934065934066,Prob
185,100,0.13333333333333333,Prob
186,100,0.13278008298755187,Prob
187,100,0.11673699015471167,Prob
188,100,0.12219101123595505,Prob
189,100,0.13275613275613277,Prob
190,100,0.1392757660167131,Prob
191,100,0.1475177304964539,Prob
192,100,0.129080118694362,Prob
193,100,0.11221590909090909,Prob
194,100,0.10714285714285714,Prob
195,100,0.08591549295774648,Prob
196,100,0.10413694721825963,Prob
197,100,0.15178571428571427,Prob
198,100,0.15,Prob
199,100,0.14447592067988668,Prob
200,100,0.602510460251046,NPM+Family
201,100,0.6175182481751825,NPM+Family
202,100,0.5991501416430595,NPM+Family
203,100,0.6207865168539326,NPM+Family
204,100,0.5811001410437235,NPM+Family
205,100,0.6056547619047619,NPM+Family
206,100,0.603542234332425,NPM+Family
207,100,0.6201117318435754,NPM+Family
208,100,0.6390101892285298,NPM+Family
209,100,0.6041666666666666,NPM+Family
210,100,0.6379084967320261,NPM+Family
211,100,0.5902366863905325,NPM+Family
212,100,0.6201438848920864,NPM+Family
213,100,0.572463768115942,NPM+Family
214,100,0.6187766714082503,NPM+Family
215,100,0.6253602305475504,NPM+Family
216,100,0.6042857142857143,NPM+Family
217,100,0.6267806267806267,NPM+Family
218,100,0.6161335187760779,NPM+Family
219,100,0.5770308123249299,NPM+Family
220,100,0.6069868995633187,NPM+Family
221,100,0.6061452513966481,NPM+Family
222,100,0.6056149732620321,NPM+Family
223,100,0.6270718232044199,NPM+Family
224,100,0.636085626911315,NPM+Family
225,100,0.6158445440956651,NPM+Family
226,100,0.6169014084507042,NPM+Family
227,100,0.5459533607681756,NPM+Family
228,100,0.6478679504814305,NPM+Family
229,100,0.6195965417867435,NPM+Family
230,100,0.5736111111111111,NPM+Family
231,100,0.6133518776077886,NPM+Family
232,100,0.6055312954876274,NPM+Family
233,100,0.6239669421487604,NPM+Family
234,100,0.6159527326440177,NPM+Family
235,100,0.6060171919770774,NPM+Family
