,Feature,Language,NPM,Family,Subfamily,Prob,Present
0,FINGERNAIL + FINGERNAIL OR TOENAIL,Abkhaz,5.15234375,Abkhaz-Adyge,Abkhaz-Abaza,0.8285714285714286,0
1,FINGERNAIL + FINGERNAIL OR TOENAIL,Adyghe,5.40234375,Abkhaz-Adyge,Circassian,0.8285714285714286,1
2,FINGERNAIL + FINGERNAIL OR TOENAIL,Hokkaido Ainu,1.0,Ainu,Hokkaido-Kuril Ainu,0.8285714285714286,1
3,FINGERNAIL + FINGERNAIL OR TOENAIL,Aleut,0.5,Eskimo-Aleut,Aleut,0.8285714285714286,1
4,FINGERNAIL + FINGERNAIL OR TOENAIL,Avar,4.93359375,Nakh-Daghestanian,Daghestanian,0.8285714285714286,1
5,FINGERNAIL + FINGERNAIL OR TOENAIL,North Azerbaijani,4.68359375,Turkic,West Oghuz,0.8285714285714286,0
6,FINGERNAIL + FINGERNAIL OR TOENAIL,Bashkir,4.91796875,Turkic,Kipchak,0.8285714285714286,1
7,FINGERNAIL + FINGERNAIL OR TOENAIL,Belarusian,7.1953125,Indo-European,Balto-Slavic,0.8285714285714286,1
8,FINGERNAIL + FINGERNAIL OR TOENAIL,Bengali,0.0,Indo-European,Indo-Aryan,0.8285714285714286,0
9,FINGERNAIL + FINGERNAIL OR TOENAIL,Breton,4.345703125,Indo-European,Celtic,0.8285714285714286,1
10,FINGERNAIL + FINGERNAIL OR TOENAIL,Burushaski,0.5,Burushaski,Burushaski,0.8285714285714286,0
11,FINGERNAIL + FINGERNAIL OR TOENAIL,Buryat,0.5,Mongolic,Eastern Mongolic,0.8285714285714286,1
12,FINGERNAIL + FINGERNAIL OR TOENAIL,Bulgarian,5.763671875,Indo-European,Balto-Slavic,0.8285714285714286,1
13,FINGERNAIL + FINGERNAIL OR TOENAIL,Catalan,4.3505859375,Indo-European,Italic,0.8285714285714286,1
14,FINGERNAIL + FINGERNAIL OR TOENAIL,Czech,6.83984375,Indo-European,Balto-Slavic,0.8285714285714286,1
15,FINGERNAIL + FINGERNAIL OR TOENAIL,Chechen,4.93359375,Nakh-Daghestanian,Nakh,0.8285714285714286,1
16,FINGERNAIL + FINGERNAIL OR TOENAIL,Chuvash,6.0859375,Turkic,Bolgar,0.8285714285714286,1
17,FINGERNAIL + FINGERNAIL OR TOENAIL,Chukchi,0.75,Chukotko-Kamchatkan,Chukotian,0.8285714285714286,1
18,FINGERNAIL + FINGERNAIL OR TOENAIL,Mandarin Chinese,0.5,Sino-Tibetan,Sinitic,0.8285714285714286,1
19,FINGERNAIL + FINGERNAIL OR TOENAIL,Welsh,4.439453125,Indo-European,Celtic,0.8285714285714286,1
20,FINGERNAIL + FINGERNAIL OR TOENAIL,Danish,6.3515625,Indo-European,Germanic,0.8285714285714286,0
21,FINGERNAIL + FINGERNAIL OR TOENAIL,Dargwa,4.93359375,Nakh-Daghestanian,Daghestanian,0.8285714285714286,1
22,FINGERNAIL + FINGERNAIL OR TOENAIL,Tsez,4.93359375,Nakh-Daghestanian,Daghestanian,0.8285714285714286,1
23,FINGERNAIL + FINGERNAIL OR TOENAIL,German,5.94140625,Indo-European,Germanic,0.8285714285714286,0
24,FINGERNAIL + FINGERNAIL OR TOENAIL,Estonian,6.8203125,Uralic,Finnic,0.8285714285714286,1
25,FINGERNAIL + FINGERNAIL OR TOENAIL,Modern Greek,4.689453125,Indo-European,Graeco-Phrygian,0.8285714285714286,1
26,FINGERNAIL + FINGERNAIL OR TOENAIL,Forest Enets,2.818359375,Uralic,Samoyedic,0.8285714285714286,1
27,FINGERNAIL + FINGERNAIL OR TOENAIL,English,4.64453125,Indo-European,Germanic,0.8285714285714286,0
28,FINGERNAIL + FINGERNAIL OR TOENAIL,Central Siberian Yupik,0.5,Eskimo-Aleut,Eskimo,0.8285714285714286,1
29,FINGERNAIL + FINGERNAIL OR TOENAIL,Basque,3.8271484375,Basque,Basque,0.8285714285714286,1
30,FINGERNAIL + FINGERNAIL OR TOENAIL,Evenki,1.9716796875,Tungusic,Northern Tungusic,0.8285714285714286,1
31,FINGERNAIL + FINGERNAIL OR TOENAIL,Finnish,7.28125,Uralic,Finnic,0.8285714285714286,1
32,FINGERNAIL + FINGERNAIL OR TOENAIL,French,5.529296875,Indo-European,Italic,0.8285714285714286,1
33,FINGERNAIL + FINGERNAIL OR TOENAIL,Nanai,1.25,Tungusic,Central Tungusic,0.8285714285714286,1
34,FINGERNAIL + FINGERNAIL OR TOENAIL,Irish,3.845703125,Indo-European,Celtic,0.8285714285714286,1
35,FINGERNAIL + FINGERNAIL OR TOENAIL,Modern Hebrew,3.2099609375,Afro-Asiatic,Semitic,0.8285714285714286,1
36,FINGERNAIL + FINGERNAIL OR TOENAIL,Hindi,0.5,Indo-European,Indo-Aryan,0.8285714285714286,1
37,FINGERNAIL + FINGERNAIL OR TOENAIL,Croatian,5.576171875,Indo-European,Balto-Slavic,0.8285714285714286,1
38,FINGERNAIL + FINGERNAIL OR TOENAIL,Hungarian,6.28515625,Uralic,Hungarian,0.8285714285714286,1
39,FINGERNAIL + FINGERNAIL OR TOENAIL,Armenian,4.93359375,Indo-European,Armenic,0.8285714285714286,1
40,FINGERNAIL + FINGERNAIL OR TOENAIL,Icelandic,0.0,Indo-European,Germanic,0.8285714285714286,0
41,FINGERNAIL + FINGERNAIL OR TOENAIL,Italian,5.794921875,Indo-European,Italic,0.8285714285714286,1
42,FINGERNAIL + FINGERNAIL OR TOENAIL,Itelmen,0.5,Chukotko-Kamchatkan,Itelmen,0.8285714285714286,1
43,FINGERNAIL + FINGERNAIL OR TOENAIL,Japanese,0.75,Japonic,Japanesic,0.8285714285714286,1
44,FINGERNAIL + FINGERNAIL OR TOENAIL,Kalaallisut,0.0,Eskimo-Aleut,Eskimo,0.8285714285714286,0
45,FINGERNAIL + FINGERNAIL OR TOENAIL,Kannada,1.0,Dravidian,South Dravidian,0.8285714285714286,1
46,FINGERNAIL + FINGERNAIL OR TOENAIL,Georgian,5.40234375,Kartvelian,Georgian-Zan,0.8285714285714286,1
47,FINGERNAIL + FINGERNAIL OR TOENAIL,Kazakh,0.5,Turkic,Kipchak,0.8285714285714286,1
48,FINGERNAIL + FINGERNAIL OR TOENAIL,Northern Khanty,4.44140625,Uralic,Khantyic,0.8285714285714286,1
49,FINGERNAIL + FINGERNAIL OR TOENAIL,Ket,2.818359375,Yeniseian,Northern Yeniseian,0.8285714285714286,1
50,FINGERNAIL + FINGERNAIL OR TOENAIL,Khalkha Mongolian,0.25,Mongolic,Eastern Mongolic,0.8285714285714286,0
51,FINGERNAIL + FINGERNAIL OR TOENAIL,Northern Kurdish,4.552734375,Indo-European,Iranian,0.8285714285714286,0
52,FINGERNAIL + FINGERNAIL OR TOENAIL,Komi-Permyak,6.1015625,Uralic,Permian,0.8285714285714286,1
53,FINGERNAIL + FINGERNAIL OR TOENAIL,Korean,0.75,Koreanic,Korean,0.8285714285714286,1
54,FINGERNAIL + FINGERNAIL OR TOENAIL,Komi-Zyrian,5.3359375,Uralic,Permian,0.8285714285714286,1
55,FINGERNAIL + FINGERNAIL OR TOENAIL,North Karelian,6.484375,Uralic,Finnic,0.8285714285714286,0
56,FINGERNAIL + FINGERNAIL OR TOENAIL,Latvian,7.3046875,Indo-European,Balto-Slavic,0.8285714285714286,1
57,FINGERNAIL + FINGERNAIL OR TOENAIL,Lak,4.93359375,Nakh-Daghestanian,Daghestanian,0.8285714285714286,1
58,FINGERNAIL + FINGERNAIL OR TOENAIL,Lezgian,4.93359375,Nakh-Daghestanian,Daghestanian,0.8285714285714286,1
59,FINGERNAIL + FINGERNAIL OR TOENAIL,Lithuanian,7.2578125,Indo-European,Balto-Slavic,0.8285714285714286,1
60,FINGERNAIL + FINGERNAIL OR TOENAIL,Livonian,6.8828125,Uralic,Finnic,0.8285714285714286,1
61,FINGERNAIL + FINGERNAIL OR TOENAIL,Malayalam,1.0,Dravidian,South Dravidian,0.8285714285714286,1
62,FINGERNAIL + FINGERNAIL OR TOENAIL,Moksha,7.1015625,Uralic,Mordvin,0.8285714285714286,1
63,FINGERNAIL + FINGERNAIL OR TOENAIL,Meadow Mari,6.1328125,Uralic,Mari,0.8285714285714286,0
64,FINGERNAIL + FINGERNAIL OR TOENAIL,Manchu,1.0,Tungusic,Manchu-Jurchen,0.8285714285714286,1
65,FINGERNAIL + FINGERNAIL OR TOENAIL,Northern Mansi,4.06640625,Uralic,Mansic,0.8285714285714286,0
66,FINGERNAIL + FINGERNAIL OR TOENAIL,Hill Mari,6.6328125,Uralic,Mari,0.8285714285714286,1
67,FINGERNAIL + FINGERNAIL OR TOENAIL,Erzya,6.3359375,Uralic,Mordvin,0.8285714285714286,1
68,FINGERNAIL + FINGERNAIL OR TOENAIL,Nganasan,2.568359375,Uralic,Samoyedic,0.8285714285714286,1
69,FINGERNAIL + FINGERNAIL OR TOENAIL,Nivkh,1.0,Nivkh,Nivkh,0.8285714285714286,1
70,FINGERNAIL + FINGERNAIL OR TOENAIL,Dutch,5.56640625,Indo-European,Germanic,0.8285714285714286,1
71,FINGERNAIL + FINGERNAIL OR TOENAIL,Norwegian (Bokmål),5.7421875,Indo-European,Germanic,0.8285714285714286,0
72,FINGERNAIL + FINGERNAIL OR TOENAIL,Olonets Karelian,7.578125,Uralic,Finnic,0.8285714285714286,1
73,FINGERNAIL + FINGERNAIL OR TOENAIL,Ossetian,4.93359375,Indo-European,Iranian,0.8285714285714286,1
74,FINGERNAIL + FINGERNAIL OR TOENAIL,Northern Pashto,0.75,Indo-European,Iranian,0.8285714285714286,1
75,FINGERNAIL + FINGERNAIL OR TOENAIL,Western Farsi,0.0,Indo-European,Iranian,0.8285714285714286,0
76,FINGERNAIL + FINGERNAIL OR TOENAIL,Polish,6.58984375,Indo-European,Balto-Slavic,0.8285714285714286,1
